name,description,nutrition
Sausage,"<div class=""jss65"">Nestle, <!-- -->2<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 150<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Aveia,"<div class=""jss65"">Nestle, <!-- -->3<!-- --> <!-- -->col, de sopa</div>","<div class=""jss70"">Calories: 105<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Lion,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->barre (=42g)</div>","<div class=""jss70"">Calories: 207<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Caramac,"<div class=""jss65"">Nestle, <!-- -->30<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 174<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Boost,"<div class=""jss65"">Nestle, <!-- -->8<!-- --> <!-- -->fl oz</div>","<div class=""jss70"">Calories: 240<!-- --> <span class=""jss67"">•</span>Carbs: 33g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 15g</div>"
Fab,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->stick</div>","<div class=""jss70"">Calories: 90<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Cheerios,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->bowl</div>","<div class=""jss70"">Calories: 175<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Nesfit,"<div class=""jss65"">Nestle, <!-- -->30<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 104<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Iogurte,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->pote</div>","<div class=""jss70"">Calories: 78<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Yoghurt,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->taza</div>","<div class=""jss70"">Calories: 106<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Smarties,"<div class=""jss65"">Nestle, <!-- -->0.5<!-- --> <!-- -->tube</div>","<div class=""jss70"">Calories: 88<!-- --> <span class=""jss67"">•</span>Carbs: 13g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Negrita,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Serving</div>","<div class=""jss70"">Calories: 153<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Chocapic,"<div class=""jss65"">Nestle, <!-- -->30<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 114<!-- --> <span class=""jss67"">•</span>Carbs: 23g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Turtle,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 90<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Milo,"<div class=""jss65"">Nestle, <!-- -->30<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Nestle Crunch Mini,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->bar</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Drifter,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 99<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Breakaway,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Biscuit</div>","<div class=""jss70"">Calories: 99<!-- --> <span class=""jss67"">•</span>Carbs: 12g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Crunch,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->bar</div>","<div class=""jss70"">Calories: 220<!-- --> <span class=""jss67"">•</span>Carbs: 30g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Chunky,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Bar (1.4oz)</div>","<div class=""jss70"">Calories: 190<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Dibs,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->container</div>","<div class=""jss70"">Calories: 340<!-- --> <span class=""jss67"">•</span>Carbs: 30g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Raisinets,"<div class=""jss65"">Nestle, <!-- -->0.25<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 190<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Tango,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->paquete</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Cocosette,"<div class=""jss65"">Nestle, <!-- -->25<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Chuckie,"<div class=""jss65"">Nestle, <!-- -->180<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 119<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
