name,description,nutrition
Raagii millet,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Goodday Cashew Cookies,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->Biscuits</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Biscuit,"<div class=""jss65"">Vita Britania, <!-- -->7<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 23g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Bourbon Cream Biscut,"<div class=""jss65"">Britania, <!-- -->9.5<!-- --> <!-- -->BISUITS</div>","<div class=""jss70"">Calories: 470<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Nutrichoice Oats Biscuits,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->pcs</div>","<div class=""jss70"">Calories: 116<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
atta,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 252<!-- --> <span class=""jss67"">•</span>Carbs: 51g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Family Biscuit,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 413<!-- --> <span class=""jss67"">•</span>Carbs: 81g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Britania Cream Cracker Biscuit,"<div class=""jss65"">Britania Cream Cracker Biscuit, <!-- -->3<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Milk Bikis Biscuit,"<div class=""jss65"">Britania, <!-- -->4<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
maska rusk,"<div class=""jss65"">britania, <!-- -->58<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 228<!-- --> <span class=""jss67"">•</span>Carbs: 39g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
50 - 50 Biscuts,"<div class=""jss65"">Britania, <!-- -->8<!-- --> <!-- -->biscuits (31g)</div>","<div class=""jss70"">Calories: 150<!-- --> <span class=""jss67"">•</span>Carbs: 20g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Choco Muffills,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 388<!-- --> <span class=""jss67"">•</span>Carbs: 48g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Butter Cake,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 618<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
cream cheese ,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 301<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 29g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Maska Chaska Biscuit,"<div class=""jss65"">Britania, <!-- -->2.5<!-- --> <!-- -->per pack</div>","<div class=""jss70"">Calories: 160<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 9g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Marie Cookie,"<div class=""jss65"">Britania, <!-- -->101<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 496<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Cheese Spread,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 258<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Classic Lite Cracker,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 438<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Nice Time Biscuit,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 455<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Pineapple Plunge Cake,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 374<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Sweet Bread,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 242<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Shortcake Biscuits,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 515<!-- --> <span class=""jss67"">•</span>Carbs: 58g<!-- --> <span class=""jss67"">•</span>Fat: 30g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
