name,description,nutrition
Rajma,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 336<!-- --> <span class=""jss67"">•</span>Carbs: 62g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 19g</div>"
Chhole,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 364<!-- --> <span class=""jss67"">•</span>Carbs: 61g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 20g</div>"
Marie Biscuit,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 38<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Juice,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 1<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Orange Delite,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g (10 pieces)</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Cornflakes,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 115<!-- --> <span class=""jss67"">•</span>Carbs: 27g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
jeera bites,"<div class=""jss65"">patanjali, <!-- -->20<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 99<!-- --> <span class=""jss67"">•</span>Carbs: 13g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
chips,"<div class=""jss65"">patanjali, <!-- -->1<!-- --> <!-- -->nos</div>","<div class=""jss70"">Calories: 472<!-- --> <span class=""jss67"">•</span>Carbs: 56g<!-- --> <span class=""jss67"">•</span>Fat: 26g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
poha,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 346<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
chickpeas,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 364<!-- --> <span class=""jss67"">•</span>Carbs: 61g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 20g</div>"
gulkand,"<div class=""jss65"">patanjali, <!-- -->10<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 31<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Cream,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 246<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 25g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
flour,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 430<!-- --> <span class=""jss67"">•</span>Carbs: 89g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 15g</div>"
Coconut Oil,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 899<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 100g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
nutty delite,"<div class=""jss65"">patanjali, <!-- -->2<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 85<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
sandwich Biscuits,"<div class=""jss65"">PATANJALI, <!-- -->75<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 124<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Herbal Powervita,"<div class=""jss65"">Patanjali, <!-- -->21<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 78<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Atta Noodles (Corrected),"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->plate</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
tablet,"<div class=""jss65"">patanjali, <!-- -->500<!-- --> <!-- -->mg</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Dalia,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 359<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 11g</div>"
biscuit ,"<div class=""jss65"">patanjali, <!-- -->84<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 20<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
guava,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 56<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Patanjali - Divya Tablet,"<div class=""jss65"">Patanjali - Divya Tablet, <!-- -->2<!-- --> <!-- -->tab</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
