name,description,nutrition
Anzac Biscuit,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 61<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
oatmeal,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
biscuit,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
cookies1,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
WittyBite,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 489<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 470<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
ANZAC Biscuit (CORRECT),"<div class=""jss65"">unibic, <!-- -->13<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 62<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
paan,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 385<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
choconut cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
biscuits,"<div class=""jss65"">unibic, <!-- -->61<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 300<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Waffers,"<div class=""jss65"">Unibic, <!-- -->30<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 155<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
100g,"<div class=""jss65"">unibic, <!-- -->1<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
