name,description,nutrition
cocolate,"<div class=""jss65"">Dukes, <!-- -->16<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 49<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Bourbon Jerky,"<div class=""jss65"">Dukes, <!-- -->28<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Mayo,"<div class=""jss65"">Brett-Dukes, <!-- -->0.5<!-- --> <!-- -->teaspoon</div>","<div class=""jss70"">Calories: 17<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Sakotis,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 210<!-- --> <span class=""jss67"">•</span>Carbs: 20g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Sandwich Spread,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->Tbsp.</div>","<div class=""jss70"">Calories: 70<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Smoked Sausages,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->links</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Venison Sausage,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 102<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 15g</div>"
Dukes light mayo,"<div class=""jss65"">Dukes mayo light, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Tartar sauce,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 160<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Beef  jerky,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
