name,description,nutrition
Parle  g,"<div class=""jss65"">Shafina, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
biscuit,"<div class=""jss65"">parle G, <!-- -->1<!-- --> <!-- -->package</div>","<div class=""jss70"">Calories: 60<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Glucose Biscuits 100 g,"<div class=""jss65"">Parle - g, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Tea Bicuits,"<div class=""jss65"">Parle-G, <!-- -->9<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Galleta,"<div class=""jss65"">Parle-G, <!-- -->56<!-- --> <!-- -->gramo</div>","<div class=""jss70"">Calories: 245<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Bisket,"<div class=""jss65"">Parle G, <!-- -->12<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Wheat  Biscuit,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Gold,"<div class=""jss65"">Parle G, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuit,"<div class=""jss65"">Parle-G, <!-- -->1<!-- --> <!-- -->Biscuit</div>","<div class=""jss70"">Calories: 454<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuits,"<div class=""jss65"">Parle-g Anish, <!-- -->5<!-- --> <!-- -->pieces(23.g)</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
